Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Cluster,PC1_2d,PC2_2d
chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,70,US,0,115.02018614874814,-11.750602489403866
buick skylark 320,15.0,8,350.0,165.0,3693,11.5,70,US,0,167.0485948819164,7.547319538332112
plymouth satellite,18.0,8,318.0,150.0,3436,11.0,70,US,0,131.8299975335768,3.6286331975427637
amc rebel sst,16.0,8,304.0,150.0,3433,12.0,70,US,0,118.69275867774753,8.158641738567848
ford torino,17.0,8,302.0,140.0,3449,10.5,70,US,0,113.56821190881132,-0.5567239000491272
ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,70,US,0,252.3196612079336,13.29149144553408
chevrolet impala,14.0,8,454.0,220.0,4354,9.0,70,US,0,283.0640183790774,26.086616020518218
plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,70,US,0,268.23466686477144,25.924618685604372
pontiac catalina,14.0,8,455.0,225.0,4425,10.0,70,US,0,285.5941003185493,30.403432857971566
amc ambassador dpl,15.0,8,390.0,190.0,3850,8.5,70,US,0,212.90637715058617,18.436472674539353
dodge challenger se,15.0,8,383.0,170.0,3563,10.0,70,US,0,199.87172388249996,1.7305704969369553
plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,70,US,0,156.1011453561194,6.361818159424767
chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,70,US,0,209.55862095115498,-22.566279819678755
buick estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,70,US,0,285.5941003185493,30.403432857971566
toyota corona mark ii,24.0,4,113.0,95.0,2372,15.0,70,Japan,1,-80.05278735656336,17.35053982736913
plymouth duster,22.0,6,198.0,95.0,2833,15.5,70,US,2,0.45621423586936954,-10.01893003413666
amc hornet,18.0,6,199.0,97.0,2774,15.5,70,US,2,2.2705187900705477,-8.276835913413045
ford maverick,21.0,6,200.0,85.0,2587,16.0,70,US,2,-0.7997094544859803,-20.08202363844843
datsun pl510,27.0,4,97.0,88.0,2130,14.5,70,Japan,1,-97.58467526879984,15.813715607490856
volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,70,Europe,1,-111.04071515774115,-24.17408422341107
peugeot 504,25.0,4,110.0,87.0,2672,17.5,70,Europe,1,-85.53991092597053,10.547600837748552
audi 100 ls,24.0,4,107.0,90.0,2430,14.5,70,Europe,1,-87.3177023101278,14.609019672128229
saab 99e,25.0,4,104.0,95.0,2375,17.5,70,Europe,1,-88.65540203190673,20.02315071455892
bmw 2002,26.0,4,121.0,113.0,2234,12.5,70,Europe,1,-66.81256372250787,31.832931106586695
amc gremlin,21.0,6,199.0,90.0,2648,15.0,70,US,2,-0.1324960006828824,-14.972705773945435
ford f250,10.0,8,360.0,215.0,4615,14.0,70,US,0,192.74193036288898,51.493198536336564
chevy c20,10.0,8,307.0,200.0,4376,15.0,70,US,0,137.81747473080569,54.369525007084924
dodge d200,11.0,8,318.0,210.0,4382,13.5,70,US,0,151.37972815962434,60.314704189349136
hi 1200d,9.0,8,304.0,193.0,4732,18.5,70,US,0,132.75060582619437,48.525043093112664
datsun pl510,27.0,4,97.0,88.0,2130,14.5,71,Japan,1,-97.58467526879984,15.813715607490856
chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,71,US,1,-56.357812729780846,3.715370344421917
toyota corona,25.0,4,113.0,95.0,2228,14.0,71,Japan,1,-80.0959897556684,17.379523105134755
amc gremlin,19.0,6,232.0,100.0,2634,13.0,71,US,2,34.41098631289422,-15.949828617433736
plymouth satellite custom,16.0,6,225.0,105.0,3439,15.5,71,US,2,29.52741937982719,-9.029723551474309
chevrolet chevelle malibu,17.0,6,250.0,100.0,3329,15.5,71,US,2,51.510313209143604,-21.84862659919286
ford torino 500,19.0,6,250.0,88.0,3302,15.5,71,US,2,47.55891328448691,-33.24964200797708
amc matador,18.0,6,232.0,100.0,3288,15.5,71,US,2,34.4330082211118,-16.089527136675276
chevrolet impala,14.0,8,350.0,165.0,4209,12.0,71,US,0,167.0988574446505,7.5552413410583545
pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,71,US,0,217.5809415061891,0.8962634964625138
ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,71,US,0,164.18647705192575,-4.1892758953060385
plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,71,US,0,132.03104778451365,3.6603204084481638
dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,71,US,0,203.21980696397762,11.180470607072312
ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,71,US,0,216.03255637228585,-3.8088820517893116
pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,71,US,0,217.63120406892332,0.9041852991888559
amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,71,US,2,62.24296309131332,-14.899221278814018
chevrolet vega (sw),22.0,4,140.0,72.0,2408,19.0,71,US,1,-61.818429224899624,-13.241046383233408
pontiac firebird,19.0,6,250.0,100.0,3282,15.0,71,US,2,51.40272792004601,-21.901375285137505
ford mustang,18.0,6,250.0,88.0,3139,14.5,71,US,2,47.630356338108605,-33.13100496377482
mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,71,US,1,-74.3489190260549,6.083692466942726
opel 1900,28.0,4,116.0,90.0,2123,14.0,71,Europe,1,-79.02994192111792,11.564654046879008
peugeot 304,30.0,4,79.0,70.0,2074,19.5,71,Europe,1,-120.60235905374483,4.147068035130729
fiat 124b,30.0,4,88.0,76.0,2065,14.5,71,Europe,1,-110.10338905065409,7.269836488356273
toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,71,Japan,1,-129.81570587385804,2.0056017017532843
datsun 1200,35.0,4,72.0,69.0,1613,18.0,71,Japan,1,-127.80640372465054,5.3481178581056374
volkswagen model 111,27.0,4,97.0,60.0,1834,19.0,71,Europe,1,-106.60064384263211,-10.911607282414606
plymouth cricket,26.0,4,91.0,70.0,1955,20.5,71,US,1,-109.04053363443741,0.383281176529433
toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,72,Japan,1,-80.05984752019252,17.313634746877156
dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,72,US,1,-99.59038966379248,8.016716033632122
volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,72,Europe,1,-108.35327164580599,-16.720126295142897
chevrolet vega,20.0,4,140.0,90.0,2408,19.5,72,US,1,-55.955712227907114,3.778744766232632
ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,72,US,1,-74.26957439147395,5.9888208309195
chevrolet impala,13.0,8,350.0,165.0,4274,12.0,72,US,0,167.15618017101386,7.600068224276666
pontiac catalina,14.0,8,400.0,175.0,4385,12.0,72,US,0,217.57388134255996,0.8593584159705447
plymouth fury iii,15.0,8,318.0,150.0,4135,13.5,72,US,0,131.9666648945211,3.5785884447378877
ford galaxie 500,14.0,8,351.0,153.0,4129,13.0,72,US,0,164.1935372155549,-4.15237081481407
amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,72,US,0,118.64249611501333,8.150719935841506
mercury marquis,11.0,8,429.0,208.0,4633,11.0,72,US,0,255.73212717940368,22.82312351937972
buick lesabre custom,13.0,8,350.0,155.0,4502,13.5,72,US,0,163.93770428685144,-1.9367817191555785
oldsmobile delta 88 royale,12.0,8,350.0,160.0,4456,13.5,72,US,0,165.5936747098523,2.8211125150408987
chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,72,US,0,222.42008699520662,15.006482271631386
mazda rx2 coupe,19.0,3,70.0,97.0,2330,13.5,72,Japan,1,-119.77901959191793,33.44294587532351
amc matador (sw),15.0,8,304.0,150.0,3892,12.5,72,US,0,118.74302124048177,8.166563541294186
chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,72,US,0,115.27855912604922,-11.674088395280428
ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,72,US,0,113.7198410143441,-0.7833722525875535
plymouth satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,72,US,0,132.01692745725532,3.5865102474642256
volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,72,Europe,1,-66.70195210544503,31.10131238016967
volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,72,Europe,1,-78.49092757209246,-3.2704156431901676
peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,72,Europe,1,-75.8833149741068,7.354884523245085
renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,72,Europe,1,-104.59718950515564,-1.987008653910771
ford pinto (sw),22.0,4,122.0,86.0,2395,16.0,72,US,1,-74.31983695420818,5.980899028193161
datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,72,Japan,1,-96.39838065599899,19.35481720259524
toyouta corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,72,Japan,1,-72.73006339726699,17.06041626368449
dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,72,US,1,-99.26133990331962,7.86863552967463
toyota corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,72,Japan,1,-97.61291592331646,15.666095285522982
buick century 350,13.0,8,350.0,175.0,4100,13.0,73,US,0,170.3393552370305,16.952392765249062
amc matador,14.0,8,304.0,150.0,3672,11.5,73,US,0,118.81446429410346,8.285200585496433
chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,73,US,0,160.74746905720565,-11.326011340619946
ford gran torino,14.0,8,302.0,137.0,4042,14.5,73,US,0,112.7245101608857,-3.545324304916853
