0,1,2
18.0,8.0,1
15.0,8.0,1
18.0,8.0,1
16.0,8.0,1
17.0,8.0,1
15.0,8.0,1
14.0,8.0,1
14.0,8.0,1
14.0,8.0,1
15.0,8.0,1
15.0,8.0,1
14.0,8.0,1
15.0,8.0,1
14.0,8.0,1
24.0,4.0,0
22.0,6.0,0
18.0,6.0,1
21.0,6.0,1
27.0,4.0,0
26.0,4.0,0
25.0,4.0,0
24.0,4.0,0
25.0,4.0,0
26.0,4.0,0
21.0,6.0,1
10.0,8.0,1
10.0,8.0,1
11.0,8.0,1
9.0,8.0,1
27.0,4.0,0
28.0,4.0,0
25.0,4.0,0
19.0,6.0,1
16.0,6.0,1
17.0,6.0,1
19.0,6.0,1
18.0,6.0,1
14.0,8.0,1
14.0,8.0,1
14.0,8.0,1
14.0,8.0,1
12.0,8.0,1
13.0,8.0,1
13.0,8.0,1
18.0,6.0,1
22.0,4.0,0
19.0,6.0,1
18.0,6.0,1
23.0,4.0,0
28.0,4.0,0
30.0,4.0,0
30.0,4.0,0
31.0,4.0,2
35.0,4.0,2
27.0,4.0,0
26.0,4.0,0
24.0,4.0,0
25.0,4.0,0
23.0,4.0,0
20.0,4.0,1
21.0,4.0,0
13.0,8.0,1
14.0,8.0,1
15.0,8.0,1
14.0,8.0,1
17.0,8.0,1
11.0,8.0,1
13.0,8.0,1
12.0,8.0,1
13.0,8.0,1
19.0,3.0,1
15.0,8.0,1
13.0,8.0,1
13.0,8.0,1
14.0,8.0,1
18.0,4.0,1
22.0,4.0,0
21.0,4.0,0
26.0,4.0,0
22.0,4.0,0
28.0,4.0,0
23.0,4.0,0
28.0,4.0,0
27.0,4.0,0
13.0,8.0,1
14.0,8.0,1
13.0,8.0,1
14.0,8.0,1
15.0,8.0,1
12.0,8.0,1
13.0,8.0,1
13.0,8.0,1
14.0,8.0,1
13.0,8.0,1
12.0,8.0,1
13.0,8.0,1
18.0,6.0,1
16.0,6.0,1
18.0,6.0,1
18.0,6.0,1
23.0,6.0,0
26.0,4.0,0
11.0,8.0,1
12.0,8.0,1
13.0,8.0,1
12.0,8.0,1
18.0,6.0,1
20.0,4.0,1
21.0,4.0,0
22.0,4.0,0
18.0,3.0,1
19.0,4.0,1
21.0,6.0,1
26.0,4.0,0
15.0,8.0,1
16.0,8.0,1
29.0,4.0,0
24.0,4.0,0
20.0,4.0,1
19.0,4.0,1
15.0,8.0,1
24.0,4.0,0
20.0,6.0,1
11.0,8.0,1
20.0,6.0,1
19.0,6.0,1
15.0,6.0,1
31.0,4.0,2
26.0,4.0,0
32.0,4.0,2
25.0,4.0,0
16.0,6.0,1
16.0,6.0,1
18.0,6.0,1
16.0,8.0,1
13.0,8.0,1
